ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg,localdurationandpitch
f,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,0,0
s,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0
s̪,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0
v,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,0,0
z,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0
z̪,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0
ð,-1,-1,1,1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0
ɸ,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,0,0
β,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,0,0
θ,-1,-1,1,1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0
ɧ,-1,-1,1,1,1,-1,-1,0,-1,-1,-1,-1,1,1,-1,1,-1,0,-1,-1,0,-1,0,0,0
ɕ,-1,-1,1,1,1,-1,-1,0,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0,-1,0,0,0
ɬ,-1,-1,1,1,1,1,-1,0,-1,-1,-1,1,1,-1,-1,0,0,0,-1,-1,0,-1,0,0,0
ɬ̪,-1,-1,1,1,1,1,-1,0,-1,-1,-1,1,1,1,-1,0,0,0,-1,-1,0,-1,0,0,0
ɮ,-1,-1,1,1,1,1,-1,0,1,-1,-1,-1,1,-1,-1,0,0,0,-1,-1,0,-1,0,0,0
ʑ,-1,-1,1,1,1,-1,-1,0,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0,-1,0,0,0
ɱ,-1,1,1,-1,0,-1,1,0,1,-1,-1,1,-1,0,1,0,0,0,-1,-1,0,-1,0,0,0
ʔ,-1,1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0
ŋ,-1,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,0,0
ɳ,-1,1,1,-1,-1,-1,1,0,1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0
ɴ,-1,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,0,-1,0,0,0
m,-1,1,1,-1,-1,-1,1,0,1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,0,0
n,-1,1,1,-1,-1,-1,1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0
n̪,-1,1,1,-1,-1,-1,1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0
ɲ,-1,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,0,0,0
ɥ,-1,1,-1,1,0,-1,-1,0,1,-1,-1,-1,-1,0,1,1,-1,-1,1,-1,1,-1,0,0,0
ɰ,-1,1,-1,1,0,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,-1,0,-1,-1,1,-1,0,0,0
