target_lang|closest_lang_0|tree_dist_0|closest_lang_1|tree_dist_1|closest_lang_2|tree_dist_2|closest_lang_3|tree_dist_3|closest_lang_4|tree_dist_4
wic|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
wie|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222|hun|0.2
wig|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222|hun|0.2
wih|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222|hun|0.2
wii|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
wij|ura|0.2|cbu|0.2|con|0.2|ata|0.2|hun|0.18181818181818182
wik|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222|hun|0.2
wil|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
wim|ura|0.2|cbu|0.2|con|0.2|ata|0.2|hun|0.18181818181818182
win|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
wir|kyz|0.75|gyr|0.625|urb|0.625|gub|0.5882352941176471|ura|0.2
wiu|ura|0.5|cbu|0.5|con|0.5|ata|0.5|hun|0.4
wiv|bnp|0.7619047619047619|rai|0.7272727272727273|lbb|0.7272727272727273|tgo|0.6666666666666666|mpx|0.6666666666666666
wiy|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
wja|bba|0.7058823529411765|cme|0.6666666666666666|box|0.6|dop|0.5714285714285714|soy|0.5333333333333333
wji|hau|0.5333333333333333|mqb|0.42857142857142855|xed|0.4|meq|0.35294117647058826|daa|0.35294117647058826
wka|som|0.4|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857
wkd|apr|0.6666666666666666|met|0.6666666666666666|bzh|0.64|mee|0.64|mbh|0.6153846153846154
wkl|mal|0.88|tam|0.7692307692307693|kan|0.45454545454545453|tel|0.3157894736842105|ura|0.13333333333333333
wku|mal|0.88|tam|0.7692307692307693|kan|0.45454545454545453|tel|0.3157894736842105|ura|0.13333333333333333
wkw|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222|hun|0.2
wla|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
wlc|wmw|0.8148148148148148|swh|0.7586206896551724|ruf|0.7407407407407407|cwe|0.7142857142857143|vid|0.7142857142857143
wle|amh|0.7368421052631579|arb|0.4444444444444444|heb|0.42105263157894735|mlt|0.42105263157894735|ura|0.16666666666666666
wlg|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
wlh|nfa|0.5555555555555556|lex|0.5555555555555556|hvn|0.5555555555555556|kje|0.5555555555555556|txq|0.5263157894736842
wli|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222|hun|0.2
wlk|dgr|0.5714285714285714|gwi|0.5714285714285714|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222
wll|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222|hun|0.2
wln|hat|0.8484848484848485|fra|0.8484848484848485|acf|0.8235294117647058|cat|0.7857142857142857|oci|0.7586206896551724
wlo|blz|0.4444444444444444|agn|0.42857142857142855|tbl|0.4|jvn|0.4|jav|0.4
wlr|tgp|0.72|upv|0.6086956521739131|lww|0.5833333333333334|klv|0.56|apb|0.5454545454545454
wls|mri|0.7142857142857143|apb|0.5454545454545454|tnk|0.5217391304347826|bgt|0.5217391304347826|bnp|0.5217391304347826
wlu|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222|hun|0.2
wlv|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
wlw|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
wlx|gux|0.6285714285714286|gng|0.6285714285714286|xon|0.6285714285714286|tbz|0.5882352941176471|box|0.5333333333333333
wly|suz|0.5882352941176471|ura|0.18181818181818182|cbu|0.18181818181818182|con|0.18181818181818182|ata|0.18181818181818182
wmb|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
wmc|boj|0.42857142857142855|ura|0.2|cbu|0.2|con|0.2|ata|0.2
wmd|nab|0.6666666666666666|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857
wme|suz|0.75|ura|0.2|cbu|0.2|con|0.2|ata|0.2
wmg|atb|0.4|ura|0.2222222222222222|cbu|0.2222222222222222|con|0.2222222222222222|ata|0.2222222222222222
wmh|lex|0.7368421052631579|kje|0.7368421052631579|txq|0.6|llg|0.6|rgu|0.5454545454545454
wmi|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
wmm|mqj|0.7142857142857143|ptu|0.6666666666666666|agn|0.5|tbl|0.46153846153846156|jvn|0.46153846153846156
wmn|tnk|0.56|tnn|0.5384615384615384|tnp|0.5384615384615384|apb|0.5|bgt|0.48
wmo|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
wms|ura|0.18181818181818182|cbu|0.18181818181818182|con|0.18181818181818182|ata|0.18181818181818182|hun|0.16666666666666666
wmt|pjt|0.4|ura|0.25|cbu|0.25|con|0.25|ata|0.25
wmx|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
wnb|boj|0.4|ura|0.18181818181818182|cbu|0.18181818181818182|con|0.18181818181818182|ata|0.18181818181818182
wnc|iou|0.7692307692307693|dah|0.6153846153846154|nca|0.5714285714285714|ded|0.4|mpp|0.375
wnd|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
wne|pst|0.8|pes|0.5555555555555556|sdh|0.5555555555555556|glk|0.5555555555555556|mjl|0.5333333333333333
wng|ura|0.2|cbu|0.2|con|0.2|ata|0.2|hun|0.18181818181818182
wni|wmw|0.7857142857142857|swh|0.7333333333333333|ruf|0.7142857142857143|cwe|0.6896551724137931|vid|0.6896551724137931
wnk|nfa|0.7272727272727273|hvn|0.7272727272727273|lex|0.45454545454545453|kje|0.45454545454545453|txq|0.43478260869565216
wnm|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
wno|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
wnp|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
wnu|boj|0.4|ura|0.18181818181818182|cbu|0.18181818181818182|con|0.18181818181818182|ata|0.18181818181818182
wnw|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
wny|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
woa|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
wob|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
woc|apr|0.64|met|0.64|bzh|0.6153846153846154|mee|0.6153846153846154|mbh|0.5925925925925926
wod|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
woe|apb|0.5|tnk|0.48|bgt|0.48|bnp|0.48|tgo|0.48
wof|wol|0.8333333333333334|knf|0.42857142857142855|ura|0.25|cbu|0.25|con|0.25
wog|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
woi|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
wok|soy|0.5333333333333333|myk|0.5|bba|0.47058823529411764|spp|0.47058823529411764|cme|0.4444444444444444
wom|soy|0.4444444444444444|myk|0.42105263157894735|bba|0.4|spp|0.4|cme|0.38095238095238093
won|umb|0.6153846153846154|poy|0.5833333333333334|ndj|0.5833333333333334|lin|0.5625|ken|0.5454545454545454
woo|nfa|0.5555555555555556|lex|0.5555555555555556|hvn|0.5555555555555556|kje|0.5555555555555556|txq|0.5263157894736842
wor|ura|0.4|cbu|0.4|con|0.4|ata|0.4|hun|0.3333333333333333
wos|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
wow|blz|0.6|agn|0.375|tbl|0.35294117647058826|jvn|0.35294117647058826|jav|0.35294117647058826
wpc|ura|0.3333333333333333|cbu|0.3333333333333333|con|0.3333333333333333|ata|0.3333333333333333|hun|0.2857142857142857
wrb|ura|0.25|cbu|0.25|con|0.25|ata|0.25|hun|0.2222222222222222
wrg|ura|0.2|cbu|0.2|con|0.2|ata|0.2|hun|0.18181818181818182
wrh|ura|0.2857142857142857|cbu|0.2857142857142857|con|0.2857142857142857|ata|0.2857142857142857|hun|0.25
