target_lang|closest_lang_0|map_dist_0|closest_lang_1|map_dist_1|closest_lang_2|map_dist_2|closest_lang_3|map_dist_3|closest_lang_4|map_dist_4
ssu|bzh|0.0021524406515141853|byr|0.004426544290750834|iou|0.004985669147007027|tbg|0.0050077643867826056|awb|0.005542888250519337
ssv|tgp|0.0019656592576093508|upv|0.004317994647445759|klv|0.007822362909993049|lww|0.010501782145911695|tnn|0.02552032973665489
ssw|afr|0.02342427921631603|seh|0.03872114106473325|sna|0.049490485618487456|toi|0.052631917790253085|loz|0.05766472110993792
ssx|imo|0.0031592372157922505|med|0.006327772192852619|kyc|0.006579376258443376|kue|0.007184699244109387|gam|0.007749533750671798
ssy|amh|0.016860315198084223|udu|0.043108998330039026|mdy|0.05110911633724366|amf|0.05640095664558165|som|0.06257541977464502
ssz|bnp|0.0037706880987898755|mbh|0.00517415100534564|ata|0.007717017905275454|mee|0.009598454101467865|mpp|0.011494415085834759
stb|ceb|0.00435295939579597|bkd|0.007456932066987252|mbb|0.008294489017981589|mbt|0.009729838883204896|obo|0.010720487789613417
ste|alp|0.008362976331983503|lex|0.030022115384445627|kje|0.03115004781094437|yva|0.036156755842864735|amk|0.03747257116790393
stf|agg|0.003458331537855985|urt|0.005871935601586383|ipi|0.013346154693555634|gai|0.01688155192189796|geb|0.017091350055833787
stg|khm|0.023375437143536484|vie|0.0301094322588771|lao|0.03311761604048308|atb|0.06777299676014241|sgb|0.06949012662504557
sti|khm|0.009714929929074374|lao|0.04527240593185923|vie|0.048458220656621226|zsm|0.05661156111824536|zlm|0.059740679021917556
stj|box|0.010782691765038911|myk|0.011538137856720344|spp|0.01642954977806867|cme|0.018891796352772463|gux|0.025898517457824344
stk|tcs|0.01677465107382856|ipi|0.018282879937709873|imo|0.01859028009523508|kyc|0.02128253019386756|med|0.021760569241368377
stl|nld|0.006200467714172269|dan|0.01536294980760726|ltz|0.017850770583675343|eng|0.023826557966521063|fra|0.030833699461408168
stm|ipi|0.006987862587912465|agg|0.009491009714153334|urt|0.010845316090495537|kyc|0.012719780558656345|imo|0.012971522947961152
stn|aia|0.005756507534596142|apb|0.008171818380096129|kwd|0.012764790720997078|lgl|0.014020422664401046|kwf|0.014087138991894252
sto|pao|0.0642172591760115|dgr|0.06701207853767423|tew|0.09198999551182964|ood|0.10839146950774477|gwi|0.1184287661894707
stq|dan|0.011118398925917828|nld|0.011121545337588098|ltz|0.01986027683169084|eng|0.029219432962927876|deu|0.02992295678599382
str|pao|0.0497757110566427|dgr|0.08396431389367456|tew|0.10054238644641372|ood|0.10517874639631182|gwi|0.11849474998839485
sts|pst|0.016788982792424963|tgk|0.02477673315272234|bhd|0.024820526055585716|dgo|0.02584183843357986|gbk|0.02990872253596883
stt|khm|0.009342963148403265|lao|0.04636020738664079|vie|0.0499712392803125|zsm|0.05495196335328682|zlm|0.05805518985086358
stu|atb|0.012772975648430144|lao|0.0236184084512623|zyp|0.031005110980071186|cek|0.03179135728536334|hlt|0.03378722475630401
stv|mdy|0.012058804374722678|amf|0.017452480176885127|udu|0.022882947596084308|amh|0.023086493243495387|spy|0.04204044757368445
stw|lid|0.052427737638786304|gai|0.06458427803328974|urt|0.06502480837011136|geb|0.06552218862637757|msy|0.06554715809884365
sty|kaz|0.03536296754402743|rus|0.06644918295457107|chv|0.0785422144524763|uzn|0.09309982352255818|tgk|0.1048041661541602
