target_lang|closest_lang_0|tree_dist_0|closest_lang_1|tree_dist_1|closest_lang_2|tree_dist_2|closest_lang_3|tree_dist_3|closest_lang_4|tree_dist_4
spn|cbu|0.6666666666666667|con|0.6666666666666667|ata|0.6666666666666667|ura|0.6666666666666667|guo|0.7142857142857143
spo|cbu|0.75|con|0.75|ata|0.75|ura|0.75|guo|0.7777777777777778
spq|spa|0.09677419354838712|ast|0.16129032258064513|glg|0.16129032258064513|cat|0.1724137931034483|oci|0.19999999999999996
spr|alp|0.4666666666666667|lex|0.6296296296296297|kje|0.6296296296296297|hvn|0.6296296296296297|nfa|0.6296296296296297
sps|lbb|0.2857142857142857|rai|0.2857142857142857|rug|0.29032258064516125|bnp|0.40740740740740744|mpx|0.4814814814814815
spt|taj|0.6666666666666667|cbu|0.8333333333333334|con|0.8333333333333334|ata|0.8333333333333334|ura|0.8333333333333334
spu|cbu|0.75|con|0.75|ata|0.75|ura|0.75|guo|0.7777777777777778
spv|ory|0.11111111111111116|ben|0.26315789473684215|asm|0.30000000000000004|mjl|0.4117647058823529|pan|0.4444444444444444
sqa|kdl|0.4545454545454546|ikk|0.5789473684210527|ibo|0.5789473684210527|ken|0.6|mkl|0.6190476190476191
sqh|kdl|0.4545454545454546|ikk|0.5789473684210527|ibo|0.5789473684210527|ken|0.6|mkl|0.6190476190476191
sqm|soy|0.5|myk|0.5294117647058824|bba|0.5555555555555556|spp|0.5555555555555556|cme|0.5789473684210527
sqn|cbu|0.6666666666666667|con|0.6666666666666667|ata|0.6666666666666667|ura|0.6666666666666667|guo|0.7142857142857143
sqo|glk|0.23809523809523814|sdh|0.23809523809523814|pst|0.4444444444444444|pes|0.5238095238095238|mjl|0.5555555555555556
sqq|cbu|0.7777777777777778|con|0.7777777777777778|ata|0.7777777777777778|ura|0.7777777777777778|guo|0.8
sqt|arb|0.4666666666666667|amh|0.5|heb|0.5|mlt|0.5|cbu|0.7777777777777778
squ|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143|guo|0.75
sra|boj|0.5714285714285714|cbu|0.8|con|0.8|ata|0.8|ura|0.8
srb|cbu|0.75|con|0.75|ata|0.75|ura|0.75|guo|0.7777777777777778
src|lat|0.30000000000000004|ron|0.33333333333333337|ita|0.33333333333333337|cat|0.36|oci|0.3846153846153846
sre|agn|0.5384615384615384|jvn|0.5714285714285714|tbl|0.5714285714285714|jav|0.5714285714285714|yka|0.6
srf|bzh|0.33333333333333337|met|0.3846153846153846|apr|0.3846153846153846|mee|0.40740740740740744|tbc|0.4285714285714286
srg|ceb|0.25|fil|0.4117647058823529|cgc|0.5|bkd|0.5555555555555556|obo|0.5555555555555556
srh|pst|0.375|glk|0.4736842105263158|sdh|0.4736842105263158|pes|0.4736842105263158|mjl|0.5
srk|agn|0.5384615384615384|jvn|0.5714285714285714|tbl|0.5714285714285714|jav|0.5714285714285714|yka|0.6
srl|cbu|0.6|con|0.6|ata|0.6|ura|0.6|guo|0.6666666666666667
sro|lat|0.30000000000000004|ron|0.33333333333333337|ita|0.33333333333333337|cat|0.36|oci|0.3846153846153846
srq|gyr|0.2222222222222222|urb|0.4444444444444444|kyz|0.4444444444444444|gub|0.4736842105263158|cbu|0.8333333333333334
srr|wol|0.4545454545454546|knf|0.5384615384615384|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143
srs|gwi|0.33333333333333337|dgr|0.33333333333333337|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143
srt|cbu|0.7142857142857143|con|0.7142857142857143|ata|0.7142857142857143|ura|0.7142857142857143|guo|0.75
sru|cbu|0.6666666666666667|con|0.6666666666666667|ata|0.6666666666666667|ura|0.6666666666666667|guo|0.7142857142857143
srv|ceb|0.25|fil|0.4117647058823529|cgc|0.5|bkd|0.5555555555555556|obo|0.5555555555555556
srw|lex|0.4|kje|0.4|txq|0.4285714285714286|llg|0.4285714285714286|rgu|0.4782608695652174
srx|kfx|0.11111111111111116|bfz|0.11111111111111116|mjl|0.17647058823529416|gbk|0.26315789473684215|xnr|0.26315789473684215
