0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
-0.6367545|0.7493107|0.10882144|0.19675134|-0.68639594|0.8597951|-0.20153287|0.46722114|-0.32988134|0.5632413|0.6233242|0.5936103|0.24323517|0.5864878|-0.21723147|-0.34343717
-0.5573815|-0.6059383|-0.24230339|-0.59002125|-0.7090815|0.6767715|0.4526955|0.44930452|0.59495527|0.5888157|0.42446682|-0.46587744|-0.6493345|-0.7130094|-0.3922457|0.5864169
-0.7915596|-0.3069028|0.484569|-0.7538469|-0.74114573|0.43081975|-0.4600818|-0.39968252|-0.53976166|-0.07823017|-0.5321636|0.80059344|0.5372341|-0.44916666|-0.3782907|0.94294494
0.33473802|-0.060597345|0.5046966|0.2798349|-0.3016966|-0.6985224|0.36803737|-0.36005288|-0.040623866|0.7609741|0.27298647|-0.3609717|-0.330493|0.69248873|-0.81052774|0.92444384
-0.052871667|-0.20360723|-0.42930415|-0.27812093|0.19700134|-0.9049567|1.0340799|0.6904093|0.18554167|-0.91579574|-0.63468677|0.010321874|0.17945476|-0.69737774|0.25274932|-0.012189767
-0.25148022|0.07561814|-0.5579335|0.11972674|0.30189875|-0.86396337|0.3246253|0.5836265|-1.0480905|-0.91686875|-0.41877797|-0.22993723|0.3149759|-0.0034009542|0.4228321|0.14896706
0.055453483|-0.27675423|-0.27750838|-0.060981724|-0.37289777|-0.8004404|0.0453839|0.46057326|0.24425124|-1.1936585|0.013196594|-0.47476196|0.22706838|-0.17456289|-1.025687|0.031159857
-0.77589285|-0.590711|0.4662751|0.4205774|-0.83575386|0.7535077|-0.47192043|0.50236124|0.504494|0.63257074|-0.48646045|1.0693843|0.45991233|-0.15154865|-0.10112424|-0.8687083
0.0684001|0.06236549|-0.8844276|-0.36998934|-0.78085494|0.81433636|-0.16456108|0.14015876|-0.874261|0.20661291|-0.5225611|0.91025555|0.40848395|-0.38762575|-0.893769|-0.63036704
-0.341742|-0.92035747|-0.5841205|-0.37887114|0.34587157|-1.1614789|0.78585726|0.21215923|0.0041575716|-0.5284618|-0.59336185|-0.21223839|0.42314926|-0.22738585|0.30107412|-0.45884022
0.39648035|0.6229387|0.61778665|-0.7300475|-0.68372226|0.72068137|0.69105077|-0.10906291|-0.6973087|0.59852886|-0.38963842|0.44885376|0.26980507|-0.05006276|-0.08473481|0.5430815
-0.023930522|0.038553704|-0.051032215|0.15765333|0.15922701|-0.81361943|0.31718588|0.5201986|-0.04721778|-0.37780303|-0.24670619|-0.3429531|0.44592384|0.05185811|1.3126694|0.21834737
